CÓDIGO;MATERIAL;DIM1;DIM2;PERIMETRO;MEDIDA
CMPREST000831;PERFIL W 150 X 37,1 (H) - ACO ASTM A572 G50 - 12M;12000;1;925;UN
CMPREST000840;BARRA REDONDA ACO A36 1 POL 6M;6000;1;506.7;UN
CMPREST000809;PERFIL W 150 X 18 - ACO A572 G50 - 2522MM;2522;1;360.4;UN
CMPREST000810;PERFIL W 150 X 18 - ACO A572 G50 - 2144MM;2144;1;360.4;UN
CMPREST000811;PERFIL W 150 X 18 - ACO A572 G50 - 770MM;770;1;360.4;UN
CMPREST000812;PERFIL W 200 X 22,5 - ACO A572 G50 - 10225MM BLOQUEADO OPCAO CMPREST000049;10225;1;477.6;UN
CMPREST000813;PERFIL W 200 X 22,5 - ACO A572 G50 - 3210MM BLOQUEADO OPCAO CMPREST000049;3210;1;477.6;UN
CMPREST000814;PERFIL W 200 X 22,5 - ACO A572 G50 - 1700MM BLOQUEADO OPCAO CMPREST000049;1700;1;477.6;UN
CMPREST000868;BARRA QUADRADA AÇO INOX AISI 304 - 5.16 POL - 1M;1000;1;31.75;UN
CMPRELE000424;BARRA DE COBRE LISA 50X10MM L=3M;2000;1;120;UN
CMPRELE003451;BARRA DE COBRE LISA 60X10MM L=3M;2000;1;140;UN
CMPREST000837;PERFIL W 200 X 46,1 (H) - ACO ASTM A572 G50 - 12M;12000;1;1003;UN
CMPREST000841;TUBO ACO QUADRADO 100 X 100 X 6,35MM - 6 METROS -NBR 8261 GRAU B;6000;1;400;UN
CMPREST000862;TUBO ACO RETANGULAR 200X100X3,0MM - 6 METROS - NBR 8261 GRAU B;6000;1;600;UN
CMPREST000796;PLACA CIMENT. STEELFR SUPERBOARD ST 10MMX1,2MX2,0M;1200;2000;1;UN
CMPREST000842;PERFIL W 200 X 31,3 - ACO ASTM A572 G50 - 12M;12000;1;944;UN
CMPREST000859;PAINEL ALUMINIO ACAB. LISO - NUCLEO HONEYCOMB POLIPROLIPENO - 1200MMX2950MMX38MM;1200;3000;1;UN
CMPRELE003674;BARRA ROSCADA 3/8 3000MM GE ELETROLITICO;3000;1;29.9;UN
CMPRELE002900;BARRAM ISOL FLEXIVEL 20X3MM L=1800MM REF LVS04743;1800;1;314.6;UN
CMPRELE000540;BARRAMISOLFLEXIVEL 32X8MM L=1800MM REF LVS04753;1800;1;804.2;UN
CMPRELE002739;BARRA DE COBRE RETANGULAR 99.9. PUREZA. 3.8 X 1.8;3000;1;25.4;UN
CMPREST000682;CHAPA DE POLICARBONATO LEXAN9030 1200X3000 ESP.3MM;1200;3000;1;UN
CMPRELE001534;PERFILADO PERFURADO 19X38X3000 C. VIROLA CH16 GF GALVANIZADO A FOGO;3000;1;152;UN
CMPRELE003475;PERFILADO PERFURADO 38X38X3000 CH 12 GF GALVANIZADO A FOGO;3000;1;228;UN
CMPRELE004571;ELETROCALHA LISA 100X50X3000 MM CH14 C. VIROLA GE;3000;1;400;UN
CMPRELE003902;ELETRODUTO 1. GE ELETROLITICO;3000;1;79.8;UN
CMPRELE003769;ELETRODUTO ACO GALVANIZADO 1 1.2. 3M GE ELETROLITICO;3000;1;119.7;UN
CMPRELE003697;LEITO ARAMADO 200X100X3000MM .1.4. GE ELETROLITICO;3000;1;100;UN
CMPRELE003810;LEITO PARA CABOS 400X100X3000MM SEMI PESADO GE ELETROLITICO;3000;1;100;UN
CMPRELE003807;LEITO PARA CABOS 500X100 MM SEMI PESADO GE ELETROLITICO;3000;1;100;UN
CMPRELE003808;LEITO PARA CABOS 600X100 MM SEMI PESADO GE ELETROLITICO;3000;1;100;UN
CMPRHVC000815;SDACI-TUBULACAO SCH.40 1. ACO GALV. S. COST.PINTAD;3000;1;100;UN
CMPRHVC000604;SDACI- ELETRODUTO PRE ZINCADO LEVE 1CO 3M COR VERMELHA - MUNSEL 5R.14. - ELT.LV.100;3000;1;100;UN
CMPRELE002963;SDACI - SEALTUBO FLEXIVEL PRETO 1;3000;1;100;UN
CMPRELE000336;SEALTUBO DE 1.;3000;1;100;UN
CMPREST000140;CHAPA POLICARBONATO 4 X 1000 X 3000 MM;1000;3000;1;UN
CMPRELE005041;"SAIDA LATERAL PARA ELETRODUTO 1"" - GALVANIZADO A FOGO - PINTADO DE PRETO";1;1;1;UN
CMPRELE005137;ELETROCALHA PERFURADA 100X100MM - GALVANIZADA A FOGO - PINTADA DE PRETO;3000;1;100;UN
CMPRELE005050;CURVA 90° HORIZONTAL - PARA ELETROCALHA 100X100MM - GALVANIZADO A FOGO - PINTADO DE PRETO;1;1;1;UN
CMPRELE005363;CURVA VERTICAL INTERNA 45 PERFURADA - PARA ELETROCALHA 100X100MM - GALVANIZADO A FOGO - PINTADO DE PRETO;1;1;1;UN
CMPRELE005364;CURVA VERTICAL EXTERNA 45 PERFURADA - PARA ELETROCALHA 100X100MM - GALVANIZADO A FOGO - PINTADO DE PRETO;1;1;1;UN
CMPRELE006280;TE HORIZONTAL 90° 100X100 ELETROCALHA PERFURADA - GALVANIZADO A FOGO - PINTADA DE PRETO;1;1;1;UN
CMPRELE005043;"CURVA 90° PARA ELETRODUTO 1"" - GALVANIZADO A FOGO - PINTADO DE PRETO";1;1;1;UN
CMPRELE005368;CONDULETE MULTIPLO X 1 S. TAMPA - PINTADO DE PRETO;1;1;1;UN
CCSMIND003452;"UNIDUT CONICO 1"" - GALVANIZADO A FOGO - PINTADO DE PRETO";1;1;1;UN
CMPRELE005051;CURVA DE INVERSÃO PERFURADA - PARA ELETROCALHA 100X100MM - GALVANIZADO A FOGO - PINTADO DE PRETO;1;1;1;UN
CMPRELE005036;EMENDA INTERNA PARA ELETROCALHA PERFURADA 100X100 - GALVANIZADA A FOGO - PINTADA DE PRETO;1;1;1;UN
CMPRELE005045;"UNIDUT RETO DE 1"" - GALVANIZADO A FOGO - PINTADO DE PRETO";1;1;1;UN
CMPRELE005001;CAMERA IP DOMO 1.2 8CMOS 2.0MP 1080P VERTIV;1;1;1;UN
CMPRELE001538;ARRUELA P. UNIDUT CONICO DE 1;1;1;1;UN
CMPRELE005000;SUPORTE DE MONTAGEM CAMERA IP VERTIV;1;1;1;UN
CMPRELE004998;SENSOR DE TEMPERATURA RDU-THD VERTIV;1;1;1;UN
CCSMIND003254;PARAFUSO CAB LENTILHA AUTO TRAVANTE 1.4X3.4 GE;1;1;1;UN
CCSMIND003234;ARRUELA LISA 1/4 GF GALVANIZADO A FOGO;1;1;1;UN
CCSMIND003230;PORCA SEXTAVADA 1.4. GF GALVANIZADO A FOGO;1;1;1;UN
CMPRELE005042;"ELETRODUTO  1"" - GALVANIZADO A FOGO - PINTADO DE PRETO";3000;1;100;UN
CMPRELE003476;PERFILADO PERFURADO GF 38X38X800M CH12 GF GALVANIZADO A FOGO;800;1;100;UN
CMPRELE003625;ELETROCALHA PERFURADA 100X50X3000MM CH16 GE C.VIRL ELETROLITICO;3000;1;100;UN
CMPRELE004798;ELETRODUTO 1. GF;3000;1;100;UN
CMPRELE003860;PERFILADO PERFURADO GE 38X38X3000 CHAPA 12 ELETROLITICO;3000;1;100;UN
CMPRELE003726;LEITO ARAM. 600X150X3000 1.4. GE TRAMA 100X50 AWS ELETROLITICO;3000;1;100;UN
CMPRHVC000681;TUBULACAO SCH.40 ACO GALV S.COST 2.-GROOVED X NPT MACHO PINTADO EM VERMELHO-SDACI;3000;1;100;UN
CMPRHVC000693;TUBULACAO SCH.40 ACO GALV S.COST 1.1.2.GROOVEDXNPT MACHO PINTADO EM VERMELHO-SDACI;3000;1;100;UN
CMPRHVC000727;SDACI-TUBULACAO SCH 40 1.GROOVED X NPT MACHO PINTADO EM VERMELHO;3000;1;100;UN
CMPRELE003850;PERFILADO PERFURADO 38X38MM GE CH-18 ELETROLITICO;3000;1;100;UN
CMPRELE003785;ELETRODUTO RIGIDO 3.4 GE ELETROLITICO;3000;1;100;UN
CCSMIND001210;SEALTUBO FLEXIVEL PRETO 3.4 SEAL.PT.034;1000;1;100;M
CMPRELE003698;ELETROCALHA LISA 100X100X3000MM C.V GE ELETROLITICO;3000;1;100;UN
CMPRELE003597;ELETROCALHA LISA 50X100X3000 GE ELETROLITICO;3000;1;100;UN
CMPRELE001457;LEITO ARAM.600X150X3000MM 1.4. GF TRAMA 100X50MM PADRAO AWS-GALVANIZADO A FOGO;3000;1;100;UN
CMPRELE001202;LEITO ARAMADO 200X100X3000MM 1.4 GALVANIZADO A FOGO.;3000;1;100;UN
CMPRELE002321;ELETRODUTO 3.4 X 3000MM PZ GF GALVANIZADO A FOGO;3000;1;100;UN
CCSMIND000343;ELETROCALHA LISA 50X100X3000MM GF GALVANIZADO A FOGO;3000;1;100;UN
CMPRELE002784;LEITO SEMI PESADO 600X100MM GF GALVANIZADO A FOGO;3000;1;100;UN
