PN;Roteiro;;Cod_Roteiro;Descricao_Roteiro;Procedencia;Destino;;OPER;Descricao_OPER;;ME1;ME2;ME3;ME4;ME5;ME6;ME7;ME8;ME9;ME10;PER1;PER2;PER3;PER4;PER5;MF1;MF2;MF3;MF4;MF5;MF6;MF7;MF8;MF9;MF10;MF11;MF12;MF13;MF14;MF15;MF16;MF17;MF18;MF19;MF20;MF21;MF22;MF23;FP1;FP2;FP3;FP4;FP5;FP6;FP7;FP8;FP9;FP10;FP11;FP12;FP13;FP14;FP15;FP16;FP17;FP18;SCJ1;SCJ2;SCJ3;FB1;EXP1;EXP2;PER6;MF24;MF25;MF26;MF27;ME11;ME12;CD1
TST-01650-801;ME1;;MF10;Infraestrutura Iluminação e Tomadas;Planta 4;Planta 4;;25;FABRICAÇÃO DE BARRAMENTOS;;;;;;;;;;;;;;;01:00:00.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TST-01758-401;ME1;;MF11;Cabeamento Estruturado (Monit. Disj. UPS);Planta 4;Planta 4;;26;MONTAGEM DE BARRAMENTOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TST-00173-401;ME1;;MF12;Comando VDC (Infraestrutura + Cabeamento);Planta 4;Planta 4;;27;FABRICAÇÃO DE PLACAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TST-00106-001;ME1;;MF13;Aterramento;Planta 4;Planta 4;;28;MONTAGEM DE PLACAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TST-00115-001;ME1;;MF14;Instalação de Paineis Elétricos + Equipamentos;Planta 4;Planta 4;;29;MONTAGEM DE COMPONENTES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TST-00108-001;ME1;;MF15;Instalação Ar Condionado + Rede Frigorigena;Planta 4;Planta 4;;30;CABEAMENTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TST-00107-001;ME1;;MF16;Instalação Dutos, Dampers, Grelhas e Renovador de Ar;Planta 4;Planta 4;;31;TESTE PONTO A PONTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TST-00109-001;ME1;;MF17;Instalação Forro +  Estrutura Plenum + Confinamento;Planta 4;Planta 4;;32;TESTE DE CERTIFICAÇÃO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TST-00117-001;ME1;;MF18;Instalação do Acabamento (Interno e Externo);Planta 4;Planta 4;;33;INSPEÇÃO DA QUALIDADE PAINÉIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TST-00118-001;ME1;;MF19;Instalação das Portas;Planta 4;Planta 4;;34;MONTAGEM ESTRUTURA MECÂNICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
